Altium Designer Pick and Place Locations
C:\myrepo\rk3566-devkit\01.hardware\RK3566\Project Outputs for RK3566\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       20/12/25
Time:       13:33
Revision:   d39db37f90201424382ae6569ad25726d0ff8314
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"L7","470nH","BottomLayer","IND-SMD_L2.0-W1.6_MHCHL201610A-1R0M-Q8A","3136.787","2081.296","90","0806 MCS20FC-R47MHC"
"U30","ESD5451N","TopLayer","DFN1006-2L-BI","2488.232","2185.838","270","9A 9.8V 8V Bidirectional 5V DFN1006-2L TVS Diodes ROHS"
"C162","100nF","TopLayer","C0402","4761.324","2357.326","0","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"U44","HX PZ2.54-1x6P ZZ","TopLayer","HDR-TH_6P-P2.54-V-M","3919.372","4235.159","180","6P 1x6P Gold Brass -40?~+105? Black Pin Header 2.54mm 2.5mm 6mm 1kV 3mm 3A 1 Through Hole Through Hole,P=2.54mm Headers, Male Pins ROHS"
"U27","ZX-XH2.54-2PLT","TopLayer","CONN-SMD_2P-P2.50_HCTL_HC-XH-2ALT","3793.653","3893.974","0",";SMD,P=2.5mm;SMD,P=2.54mm"
"U25","ESD5451N","TopLayer","DFN1006-2L-BI","2805.235","2035.548","180","??? TVS(???????),?????????????????????????,???? ESD(????)?EFT(?????)????????????"
"R124","2.2kO","TopLayer","R0402","2705.000","1999.254","180","2.2kO ±1% 62.5mW ????"
"R123","100O","TopLayer","R0402","2705.285","2079.318","180","100O 62.5mW 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"C253","220pF","TopLayer","C0402","2804.048","1999.934","180","16V 220pF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C252","1uF","TopLayer","C0402","2704.446","2038.800","180","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
